Gender,Married,Dependents,Education,Employment_Status,Applicant_Income,Coapplicant_Income,Loan_Amount,Loan_Term_Months,Credit_History,Property_Area,Age,Loan_Status,CIBIL_Score,Annual_Household_Income,Debt_to_Income_Ratio,Purpose_of_Loan,Existing_EMIs,Number_of_Previous_Loans,Default_History_Count,Employment_Length_Years,Asset_Value,Guarantor,Co-signer_Relationship,Monthly_Expense,Organization_Type,Region_Branch,Mobile_Verified,Email_Verified,Loan_to_Annual_Income,Customer_Sentiment,State,Occupation
Male,No,2,Graduate,Salaried,56976,0,8031545,360,1,Urban,36,Approved,699,683712,0.098,Home,5610,0,0,1,744861,No,Friend,30391,Public,KOL-004,No,Yes,11.747,Positive,Delhi,Farmer
Male,No,0,Graduate,Unemployed,1856,0,899361,240,1,Rural,42,Rejected,707,22272,4.939,Business,9166,1,0,0,0,No,Sibling,1856,Startup,DEL-001,No,Yes,40.381,Negative,Punjab,Civil Engineer
Female,Yes,0,Graduate,Salaried,64553,0,2387748,60,1,Rural,38,Approved,641,774636,0.0,Business,0,2,0,1,2913766,No,Unknown,24557,Private,BLR-003,Yes,Yes,3.082,Positive,Maharashtra,Medical Representative
Male,No,0,Graduate,Salaried,88450,0,658856,12,1,Semiurban,32,Approved,677,1061400,0.301,Personal,26613,1,0,3,3488244,No,Friend,36750,Startup,KOL-004,Yes,Yes,0.621,Negative,Gujarat,Marketing Executive
Male,Yes,3,Graduate,Self-Employed,9539,0,198671,36,0,Semiurban,35,Approved,594,114468,0.0,Personal,0,0,0,2,472179,No,Parent,3920,Public,BLR-003,Yes,Yes,1.736,Neutral,West Bengal,Shopkeeper
Male,Yes,1,Graduate,Salaried,39184,0,494949,36,1,Rural,24,Approved,682,470208,0.469,Auto,18373,0,0,1,1399683,No,Unknown,17773,MNC,BLR-003,Yes,Yes,1.053,Negative,West Bengal,Farmer
Female,Yes,0,Not Graduate,Salaried,81223,0,1565649,120,1,Semiurban,43,Approved,693,974676,0.646,Business,52446,0,0,12,2068763,No,Unknown,37145,MNC,HYD-005,Yes,Yes,1.606,Positive,Maharashtra,Factory Worker
Female,No,0,Graduate,Unemployed,0,0,5879217,120,1,Semiurban,27,Rejected,723,0,712.0,Home,712,0,0,0,662552,No,Spouse,0,Government,DEL-001,Yes,Yes,100.0,Positive,Maharashtra,Shopkeeper
Male,Yes,3,Graduate,Unemployed,17675,0,1015184,48,0,Urban,30,Rejected,593,212100,1.557,Auto,27513,0,0,1,574233,No,Unknown,11655,Private,KOL-004,Yes,Yes,4.786,Positive,Delhi,Chartered Accountant
Male,No,3,Graduate,Salaried,71409,0,128951,24,0,Rural,39,Approved,538,856908,0.0,Personal,0,1,0,1,2804582,No,Friend,26217,Startup,BLR-003,Yes,Yes,0.15,Positive,West Bengal,Bank Officer
